esel    ass
katze   cat
hund    dog
mühle   mill
kräfte  strength
herr    master
abend   evening
licht   lights
säcke   sacks
hexe    witch
tisch   table
der the
mehr    more
satz    sentence
zwischen    between
von of
tag day
menge   set
stadt   city
zu  to
konnte  could
drei    three
baum    tree
und and
gehen   go
wollen  want
kreuz   cross
ein a
kommen  come
luft    air
seit    since
in  in
tat did
also    well
hart    hard
ist is
mein    my
ebenso  also
start   start
es  it
sound   sound
spielen play
könnte  might
du  you
nein    no
gering  small
geschichte  story
das that
meist   most
ende    end
sah saw
er  he
nummer  number
legen   put
weit    far
war was
wer who
zuhause home
see sea
für for
darüber over
lesen   read
zeichnen    draw
auf on
wissen  know
hand    hand
links   left
sind    are
wasser  water
hafen   port
spät    late
mit with
als than
breit   large
rennen  run
rufen   call
zauber  spell
nicht   don't
ich I
erster  first
hinzufügen  add
während while
sein    his
leute   people
sogar   even
drücken press
mai may
land    land
schließen   close
unten   down
hier    here
nacht   night
bei at
seite   side
müssen  must
real    real
eins    one
gewesen been
groß    big
leben   life
haben   have
jetzt   now
hoch    high
wenig   few
dies    this
finden  find
solch   such
stoppen stop
aus from
irgendeine  any
folgen  follow
öffnen  open
oder    or
neu new
akt act
scheinen    seem
hatte   had
arbeiten    work
warum   why
zusammen    together
teil    part
fragen  ask
nächster    next
heiß    hot
nehmen  take
männer  men
weiß    white
aber    but
holen   get
wechseln    change
kinder  children
manche  some
ort place
gingen  went
beginnen    begin
was what
machte  made
bekam   got
dort    there
wohnen  live
sorte   kind
laufen  walk
wir we
wo  where
ausgeschaltet   off
beispiel    example
kann    can
danach  after
brauchen    need
ruhe    ease
draußen out
zurück  back
haus    house
papier  paper
andere  other
klein   little
bild    picture
oft often
waren   were
nur only
versuchen   try
immer   always
alle    all
rund    round
uns us
musik   music
dein    your
mann    man
wieder  again
wann    when
jahr    year
tier    animal
beide   both
oben    up
kam came
punkt   point
zeichen mark
benutzen    use
zeigen  show
mutter  mother
buch    book
wort    word
jeder   every
welt    world
brief   letter
wie how
gut good
nahe    near
bis until
sagte   said
mir me
bauen   build
meile   mile
geben   give
selbst  self
fluss   river
jeweils each
unser   our
erde    earth
auto    car
sie she
unter   under
vater   father
füße    feet
welches which
name    name
kopf    head
kümmern care
tun do
sehr    very
stehen  stand
sekunde second
durch   through
eigenes own
gruppe  group
zeit    time
eben    just
blatt   page
tragen  carry
falls   if
form    form
sollte  should
nahm    took
wird    will
viel    much
nation  country
regen   rain
weg way
großartig   great
gefunden    found
essen   eat
über    about
denken  think
antwort answer
raum    room
viele   many
sagen   say
schule  school
freund  friend
dann    then
helfen  help
wachsen grow
begannen    began
denen   them
tief    low
studieren   study
idee    idea
würde   would
linie   line
noch    still
fisch   fish
schreiben   write
bevor   before
lernen  learn
berg    mountain
mögen   like
drehen  turn
pflanzen    plant
norden  north
so  so
grund   cause
decken  cover
einmal  once
diese   these
gleich  same
nahrung food
basis   base
ihr her
meinen  mean
sonne   sun
hören   hear
lang    long
unterscheiden   differ
vier    four
pferd   horse
machen  make
bewegen move
gedanke thought
schneiden   cut
ding    thing
rechts  right
lassen  let
sicher  sure
sehen   see
junge   boy
bleiben keep
schauen watch
ihm him
alt old
auge    eye
farbe   color
zwei    two
auch    too
nie never
gesicht face
hat has
tut does
letzter last
holz    wood
betrachten  look
erzählen    tell
tür door
haupt   main
