ángelait	ángelaite
äbte	abbots
äbtin	abbess
äbtissin	abbess
ächter	proscriber
ächtung	outlawry
ächzen	groaning
äcker	fields
äderung	veining
ädikula	aedicula
ädil	edile
äffer	lemurids
ägide	aegis
ägina	aegina
ägirin	aegirine
ägis	aegis
ägophonie	egophony
ägypten	egypt
ägypterinnen	egyptians
ägypterin	egyptian
ägypter	egyptian
ägyptisch	egyptian
ägyptologe	egyptologist
ägyptologie	egyptology
ägyptologin	egyptologist
ähnlichkeiten	resemblances
ähnlichkeit	affinity
ährchen	spikelet
ährenachse	rachilla
ährenlesen	gleaning
ährenleserin	gleaner
ährenleser	gleaner
ährenminze	spearmint
ährenträgerpfau	dragonbird
ähre	spike
älchen	eelworm
älpler	hillfolk
ältenstenversammlung	presbytery
älterer	senior
ältere	elders
ältestenamt	eldership
ältestenkreis	presbytery
ältestenrat	presbytery
ältester	dean
älteste	presbyter
ämterkauf	simony
änderbarkeit	changeability
änderungen	alterations
änderungsantrag	amendment
änderungsdienst	updating
änderungshistorie	changelog
änderungsprotokoll	changelog
änderungssensibilität	responsiveness
änderungssensitivität	responsiveness
änderungsvorschlag	amendment
änderung	adjustment
äneas	aeneas
ängste	anguishes
ängstlichkeiten	anxieties
ängstlichkeit	anxiety
äolien	aeolia
äoline	aeoline
äolisch	aeolic
äolus	aeolus
äonen	aeons
äon	aeon
äpfelung	dapples
äpfel	apples
äppelwoi	cider
äqualisation	equalization
äqualisierung	equalising
äquatoren	equators
äquatorialguineerin	equatoguinean
äquatorialguineer	equatoguinean
äquator	equator
äquidistanz	equidistance
äquifinalität	equifinality
äquilibration	equilibration
äquilibrierung	equilibration
äquilibristin	equilibrist
äquilibrist	equilibrist
äquilibrium	equilibrium
äquinoktien	equinoxes
äquinoktium	equinox
äquipartition	equipartition
äquipollenz	equipollence
äquipotentialität	equipotentiality
äquipotenzial	equipotential
äquivalente	equivalents
äquivalent	equipollent
äquivalenz	equivalence
äquivokation	equivocation
ärar	treasury
ära	age
ären	eras
ärgerlichkeit	irksomeness
ärgernis	annoyance
ärger	aggravation
ärmelaufschlag	cuff
ärmelbündchen	cuff
ärmelkanal	channel
ärmelschoner	oversleeve
ärmelstreifen	stripe
ärmel	sleeve
ärmlichkeit	squalidity
ärmlinge	oversleeves
ärmling	oversleeve
ärobic	aerobic
ärometer	aerometer
ärosol	aerosol
ärsche	arses
ärzte	doctors
ärztinnen	doctors
ärztin	doctor
äschylus	aeschylus
